,km,year,test_cost,price,num_of_hand,Engine_Size,electric,disel,gasoline,automatic,manual,private,leasing,rent,else,Manufacturer
5481,1,2023,3366,298000,1,1498.0,0,0,1,1,0,0,0,0,1,1
5482,1,2023,3366,297600,1,1498.0,0,0,1,1,0,0,0,0,1,1
5483,1,2023,3366,303300,1,1498.0,0,0,1,1,0,0,0,0,1,1
5484,144000,2017,2019,99999,2,1798.0,0,0,1,1,0,0,1,0,0,27
5485,48782,2019,1835,99900,1,1332.0,0,0,1,1,0,0,1,0,0,21
5486,99000,2018,2019,113000,1,1598.0,0,1,0,1,0,1,0,0,0,21
5487,102000,2019,1604,105000,1,1798.0,0,0,1,1,0,1,0,0,0,12
5488,135000,2017,1693,100000,3,1999.0,0,0,1,1,0,1,0,0,0,13
5489,208000,2011,1074,27000,3,1197.0,0,0,1,1,0,1,0,0,0,28
5490,173000,2012,1262,36900,2,1591.0,0,0,1,1,0,0,1,0,0,13
5492,50000,2020,3366,199000,1,1997.0,0,0,1,1,0,1,0,0,0,37
5493,150000,2019,1604,63900,1,1798.0,0,0,1,1,0,0,1,0,0,21
5494,50000,2021,2417,135000,1,1332.0,0,0,1,1,0,1,0,0,0,21
5495,178000,2018,3357,165000,2,1995.0,0,0,1,1,0,1,0,0,0,5
5496,18000,2021,2130,126000,1,1998.0,0,0,1,1,0,1,0,0,0,17
5497,120000,2018,3357,164803,2,3497.0,0,0,1,1,0,1,0,0,0,29
5499,87939,2019,1604,89900,1,1998.0,0,0,1,1,0,0,1,0,0,19
5500,110848,2019,2019,104900,1,1998.0,0,0,1,1,0,0,1,0,0,19
5501,67000,2017,3357,179000,2,1991.0,0,0,1,1,0,1,0,0,0,3
5502,80000,2018,2563,165000,2,1595.0,0,0,1,1,0,1,0,0,0,20
5503,120000,2013,985,31000,4,1248.0,0,0,1,1,0,1,0,0,0,35
5506,280000,2016,1693,59999,2,1995.0,0,0,1,1,0,1,0,0,0,23
5507,100000,2018,3357,310000,1,2755.0,0,1,0,1,0,1,0,0,0,12
5508,55000,2019,3357,199990,2,1998.0,0,0,1,1,0,1,0,0,0,6
5509,89000,2019,2417,125000,1,1199.0,0,0,1,1,0,1,0,0,0,31
5510,115000,2018,1353,58900,1,1395.0,0,0,1,1,0,1,0,0,0,27
5511,132710,2020,1811,95900,1,1580.0,0,0,1,1,0,0,1,0,0,13
5512,111386,2019,1604,77900,1,999.0,0,0,1,1,0,0,1,0,0,27
5513,7000,2022,4731,318000,2,1332.0,0,0,1,1,0,1,0,0,0,20
5514,113140,2019,1835,89900,1,1199.0,0,0,1,1,0,0,1,0,0,31
5515,184000,2016,1962,79900,3,1997.0,0,1,0,1,0,1,0,0,0,26
5516,52000,2020,3366,175000,2,1984.0,0,0,1,1,0,0,0,0,1,1
5517,169000,2016,985,46000,1,999.0,0,0,1,1,0,1,0,0,0,25
5518,139000,2014,985,26999,2,1242.0,0,0,1,1,0,1,0,0,0,30
5520,110449,2018,2019,100000,1,1999.0,0,0,1,1,0,0,0,1,0,35
5521,107000,2019,1835,109000,1,1798.0,0,0,1,1,0,0,1,0,0,12
5522,35290,2021,3366,230860,1,1332.0,1,0,1,1,0,1,0,0,0,0
5523,140000,2016,985,29900,3,1242.0,0,0,1,1,0,0,0,0,1,30
5524,280000,2019,2563,138900,1,1332.0,0,0,1,1,0,1,0,0,0,20
5525,140000,2013,1584,49900,4,1789.0,0,0,1,1,0,1,0,0,0,25
5526,38000,2020,2417,114900,4,1499.0,0,0,1,1,0,1,0,0,0,18
